Ingrediente Buscado;Produto Encontrado;Preço (R$);Unidade;Mercado;Link;Data da Coleta
"linguiça calabresa";"Linguiça Calabresa Sadia 1kgcionar";27,50;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-sadia-1kg-31482;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Toscana Aurora 1kg";28,51;1kg;Spani Atacadista;https://www.spanionline.com.br/produto/1148/linguica-toscana-aurora-1kg;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Defumada Aurora 500g";30,64;500g;Spani Atacadista;https://www.spanionline.com.br/produto/646/linguica-calabresa-defumada-aurora-500g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Perdigão 1kgpartir de 2 unidadesregras";30,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-perdigao-1kg-31646;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Portuguesa Aurora Kg";32,29;und;Spani Atacadista;https://www.spanionline.com.br/produto/11380/linguica-portuguesa-aurora-kg;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Tipo Calabresa Prieto 2kg";37,90;2kg;Atacadão;https://www.atacadao.com.br/linguica-tipo-calabresa-prieto-68167-36603/p;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Frimesa Resfriada 2kg";38,90;2kg;Atacadão;https://www.atacadao.com.br/linguica-calabresa-frimesa-resfriada-64816-35412/p;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Cozida Fatiada Ceratti 1kgpartir de 3 unidadesregras";39,90;1kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-cozida-fatiada-ceratti-1kg-34444;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Defumada Estrela Pacote 2,5kgcionar";44,72;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-estrela-2-5kg-32098;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Reta Seara 2,5kg";44,97;5kg;Atacadão;https://www.atacadao.com.br/linguica-calabresa-reta-seara-57217-35638/p;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Paio Aurora 500g";45,48;500g;Spani Atacadista;https://www.spanionline.com.br/produto/665/linguica-paio-aurora-500g;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Pamplona Reta 2,5kg";45,90;5kg;Atacadão;https://www.atacadao.com.br/linguica-calabresa-pamplona-reta-58453-35518/p;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Alegra Resfriada 2,5kg";46,50;5kg;Atacadão;https://www.atacadao.com.br/linguica-calabresa-alegra-resfriada-92766-43238/p;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Marba Resfriada Defumada 2,5kg";46,90;5kg;Atacadão;https://www.atacadao.com.br/linguica-calabresa-marba-resfriada-defumada-67689-35468/p;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Pamplona Pacote 2,5Kgo médio 2.5 kg Valor do kg: onar";49,73;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-pamplona-2-5kg-23504;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Reta Pamplona Pacote 2.5kgo médio 2.5 kg Valor do kg: onar";49,73;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-calabresa-reta-pamplona-pacote;2026-03-21 21:49:16
"linguiça calabresa";"Linguiça Calabresa Seara 2,5kg";54,90;5kg;Atacadão;https://www.atacadao.com.br/linguica-calabresa-seara-57226-35630/p;2026-03-21 21:49:16
"linguiça calabresa";"AnúncioLinguiça tipo calabresa Seara 2,5kgo médio 2.5 kg Valor do kg: onar";57,25;5kg;Tenda Atacado;https://www.tendaatacado.com.br/produto/linguica-tipo-calabresa-seara-2-5kg;2026-03-21 21:49:16
